--- Sampling Parameter ---,,,,,,,,,,,,,,,,
Sampling Time,0.0000002,0.0000002,,,,,,,,,,,,,,
Sample Number,41666,41666,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
--- Sampling Data ---,,,,,,,,,,,,,,,,
Time [sec],TDS_AC [V],Friction [gf],,,,,,,,0.02,41666,,,0.02,41666,
0,-0.002441,1.210957,,,,1.405928,,,,1,0,0,,1,0,0
0.0000002,-0.002441,1.227205,,,,1.064729,,,,1.02,0,0,,1.02,0,0
0.0000004,0,1.227205,,,,0.341199,,,,1.04,0,0,,1.04,0,0
0.0000006,0,1.227205,,,,,,,,1.06,4,9.60015E-05,,1.06,0,0
0.0000008,0,1.243452,,,,,,,,1.08,278,0.006672107,,1.08,23,0.000552009
0.000001,-0.002441,1.227205,,,,,,,,1.1,163,0.003912063,,1.1,194,0.004656074
0.0000012,-0.002441,1.243452,,,,,,,,1.12,499,0.011976192,,1.12,269,0.006456103
0.0000014,0,1.227205,,,,,,,,1.14,1248,0.029952479,,1.14,812,0.019488312
0.0000016,-0.002441,1.227205,,,,,,,,1.16,4445,0.106681707,,1.16,3923,0.094153506
0.0000018,0,1.227205,,,,,,,,1.18,3879,0.09309749,,1.18,2871,0.068905102
0.000002,0,1.227205,,,,,,,,1.2,4431,0.106345702,,1.2,3257,0.078169251
0.0000022,-0.002441,1.227205,,,,,,,,1.22,5145,0.123481976,,1.22,4444,0.106657707
0.0000024,0,1.227205,,,,,,,,1.24,9271,0.22250756,,1.24,14423,0.346157539
0.0000026,0,1.243452,,,,,,,,1.26,3537,0.084889358,,1.26,5577,0.133850142
0.0000028,-0.002441,1.243452,,,,,,,,1.28,3943,0.094633514,,1.28,3557,0.085369366
0.000003,0,1.227205,,,,,,,,1.3,2668,0.064033025,,1.3,1504,0.036096578
0.0000032,-0.002441,1.227205,,,,,,,,1.32,1045,0.025080401,,1.32,685,0.016440263
0.0000034,0,1.227205,,,,,,,,1.34,843,0.020232324,,1.34,127,0.003048049
0.0000036,-0.002441,1.227205,,,,,,,,1.36,225,0.005400086,,1.36,0,0
0.0000038,0.002441,1.243452,,,,,,,,1.38,40,0.000960015,,1.38,0,0
0.000004,0,1.227205,,,,,,,,1.4,2,4.80008E-05,,1.4,0,0
0.0000042,0,1.227205,,,,,,,,1.42,0,0,,1.42,0,0
0.0000044,0,1.243452,,,,,,,,1.44,0,0,,1.44,0,0
0.0000046,-0.002441,1.227205,,,,,,,,1.46,0,0,,1.46,0,0
0.0000048,-0.002441,1.227205,,,,,,,,1.48,0,0,,1.48,0,0
0.000005,-0.002441,1.227205,,,,,,,,1.5,0,0,,1.5,0,0
0.0000052,0,1.227205,,,,,,,,1.52,0,0,,1.52,0,0
0.0000054,0,1.227205,,,,,,,,1.54,0,0,,1.54,0,0
0.0000056,0,1.243452,,,,,,,,1.56,0,0,,1.56,0,0
0.0000058,-0.002441,1.243452,,,,,,,,1.58,0,0,,1.58,0,0
0.000006,0,1.243452,,,,,,,,1.6,0,0,,1.6,0,0
